Qty;Value;Parts;Package;MPN;Manufacturer;Description;Type
3;;D1,D2, D3;SOD-123FL;MBR120VLSFT1G;onsemi;DIODE SCHOTTKY 20V 1A SOD123FL;SMD
4;;3V3, 4.5V-12V, GND, GND5;1X03;61300311121;Würth Elektronik;CONN HEADER VERT 3POS 2.54MM;THRU-HOLE
1;;CN1;USB-MINIB;690-005-299-043;EDAC Inc.;CONN RCPT USB2.0 MINI B SMD R/A;SMD
1;0 ohm;R32;R0805;ERJ-6GEY0R00V;Panasonic Electronic Components;RES SMD 0 OHM JUMPER 1/8W 0805;SMD
2;100K;R41, R43;R0805;RC0805FR-07100KL;YAGEO;RES 100K OHM 1% 1/8W 0805;SMD
10;100k;R6, R7, R8, R9, R15, R16, R25, R26, R33, R47;R0603;CRG0603F100K;TE Connectivity Passive Product;RES SMD 100K OHM 1% 1/10W 0603;SMD
5;100nF;C3, C16, C22, C23, C38;C0805;KGM21NR71E104KT;KYOCERA AVX;CAP CER 0.1UF 25V X7R 0805;SMD
1;104k;R51;R0603;RN73H1JTTD1043B50;KOA Speer Electronics, Inc.;RES 104K OHM 0.1% 1/10W 0603;SMD
1;105k;R44;R0603;AC0603FR-07105KL;YAGEO;RES SMD 105K OHM 1% 1/10W 0603;SMD
1;10K;RT1;DO35;103JG1F;Littelfuse Inc.;THERMISTOR NTC 10KOHM 3892K DO35;THRU-HOLE
1;10k;R52;RTRIM3296W;3296W-1-103RLF;Bourns Inc.;TRIMMER 10K OHM 0.5W PC PIN TOP;SMD
9;10k;R1, R3, R4, R18, R19, R20, R21, R38, R54;R0603;ERJ-U03F1002V;Panasonic Electronic Components;RES 10K OHM 1% 1/10W 0603;SMD
1;10pF;C25;C0805;C0805C100JDGACTU;KEMET;CAP CER 10PF 1KV C0G/NP0 0805;SMD
10;10uF;C7, C8, C11, C14, C19, C20, C21, C29, C32, C33;C0805;GRM21BR61C106KE15K;Murata Electronics;CAP CER 10UF 16V X5R 0805;SMD
1;10uH;L2;IND_IFSC_1515AH_VIS-M;IFSC1515AHER100M01;Vishay Dale;FIXED IND 10UH 1.3A 170 MOHM SMD;SMD
1;117k;R49;R0603;RT0603DRE07117KL;YAGEO;RES 117K OHM 0.5% 1/10W 0603;SMD
1;150k;R48;R0603;ERJ-3EKF1503V;Panasonic Electronic Components;RES SMD 150K OHM 1% 1/10W 0603;SMD
1;16k;R50;R0603;RC0603FR-0716KL;YAGEO;RES 16K OHM 1% 1/10W 0603;SMD
1;1K;R46;R0603;RMCF0603FT1K00;Stackpole Electronics Inc;RES 1K OHM 1% 1/10W 0603;SMD
8;1uF;C1, C2, C4, C5, C10, C13, C15, C17;C0805;CC0805KKX7R9BB105;YAGEO;CAP CER 1UF 50V X7R 0805;SMD
1;2.2uF;C24;C0805;CGA4J3X7R1H225K125AB;TDK Corporation;CAP CER 2.2UF 50V X7R 0805;SMD
1;20k;R45;R0603;RC0603FR-0720KL;YAGEO;RES 20K OHM 1% 1/10W 0603;SMD
8;22uF;C26, C28, C30, C31, C34, C35, C36, C37;C0805;CL21A226MOQNNNE;Samsung Electro-Mechanics;CAP CER 22UF 16V X5R 0805;SMD
2;23.7k;R27, R29;R0603;ERJ-3EKF2372V;Panasonic Electronic Components;RES SMD 23.7K OHM 1% 1/10W 0603;SMD
1;270K;R40;R0603;ERJ-3EKF2703V;Panasonic Electronic Components;RES SMD 270K OHM 1% 1/10W 0603;SMD
1;287k;R34;R0603;ERJ-3EKF2873V;Panasonic Electronic Components;RES SMD 287K OHM 1% 1/10W 0603;SMD
2;2N7002;Q1, Q2;SOT23;2N7002;onsemi;MOSFET SOT23 N 60V 5OHM 150C;SMD
5;2k;R5, R10, R17, R24, R42;R0603;RC0603FR-072KL;YAGEO;RES 2K OHM 1% 1/10W 0603;SMD
1;4.53k;R39;R0603;ERJ-3EKF4531V;Panasonic Electronic Components;RES SMD 4.53K OHM 1% 1/10W 0603;SMD
5;4.7k;R2, R11, R12, R13, R14;R0603;RK73G1JTTD4701C;KOA Speer Electronics, Inc.;RES 4.7K OHM 0.25% 1/10W 0603;SMD
4;470pF;C6, C9, C12, C18;C0805;CC0805JRNPOBBN471;YAGEO;CAP CER 470PF 500V C0G/NPO 0805;SMD
2;5.1k;R36, R37;R0603;ERA-3ARW512V;Panasonic Electronic Components;RES SMD 5.1KOHM 0.05% 1/10W 0603;SMD
2;51.1k;R31, R35;R0603;RC0603FR-0751K1L;YAGEO;RES 51.1K OHM 1% 1/10W 0603;SMD
1;51k;R22;R0603;RC0603FR-0751KL;YAGEO;RES 51K OHM 1% 1/10W 0603;SMD
2;5k;R28, R30;R0603;RN73A1J5K0FTD;TE Connectivity Passive Product;RN 0603 5K0 1% 5PPM 5K RL;SMD
1;6k;R53;R0603;ERJ-3EKF6041V;Panasonic Electronic Components;RES SMD 6.04K OHM 1% 1/10W 0603;SMD
1;75k;R23;R0603;AC0603FR-0775KL;YAGEO;RES SMD 75K OHM 1% 1/10W 0603;SMD
2;B2B-PH-K-S;BATT, SOLAR;JST_B2B-PH-K-S;B2B-PH-K-S;JST Sales America Inc.;CONN HEADER VERT 2POS 2MM;THRU-HOLE
1;BH-25C-1;BT1;BAT_BH-25C-1;BH-25C-1;Adam Tech;BATTERY HOLDER COIN 20MM PC PIN;THRU-HOLE
1;BLUE;CHRG;SML0603;XZCFBB53W-8VF;SunLED;LED BLUE CLEAR 2SMD;SMD
1;DS3231MZ+TRL;U4;8-SOIC;DS3231MZ+TRL;Analog Devices Inc./Maxim Integrated;IC RTC CLK/CALENDAR I2C 8SOIC;SMD
1;GF-123-0054;S1;SW_GF-123-0054;GF-123-0054;CW Industries;SWITCH SLIDE SPST 8.5A 125V;THRU-HOLE
1;GREEN;DONE;SML0603;XZCDGK53W-8VF;SunLED;LED GREEN CLEAR 2SMD;SMD
1;HOPERF_RFM95W;RFM95W;16-SMD Module;RFM95W-868S2;RF Solutions;RF TXRX MOD ISM<1GHZSMD;SMD
1;LQH5BPN1R0N38L;L1;IND_LQH5BPN1R0N38L;LQH5BPN1R0N38L;Murata Electronics;FIXED IND 1UH 4.6A 12 MOHM SMD;SMD
2;LQH5BPN6R8M38L;L3, L4;IND_LQH5BPN6R8M38L;LQH5BPN6R8M38L;Murata Electronics;FIXED IND 6.8UH 3A 39 MOHM SMD;SMD
1;MCP73871;IC2;QFN20_4MM;MCP73871T-2CCI/ML;Microchip Technology;IC BATT CHG LI-ION 1CELL 20QFN;SMD
1;MSD-4-A;SD_CARD;CUI_MSD-4-A;MSD-4-A;Same Sky (Formerly CUI Devices);CONN MICROSD CARD R/A SMD;SMD
2;MT3608;U8, U9;SOT23-6;MT3608;Aerosemi;SOT23-6 1.2 MHz STEP UP CONVERTER;SMD
1;SI1865DDL-T1-GE3;Q3; SC-70-6 ;SI1865DDL-T1-GE3;Vishay Siliconix;IC PWR SWITCH P-CHAN 1:1 SC70-6;SMD
3;NTJD1155LT1G;Q4, Q5, Q6;TRANS_NTJD1155LT1G;NTJD1155LT1G;onsemi;MOSFET N/P-CH 8V 1.3A SC88;SMD
1;RED;PWR;SML0603;XZCM2CRK53WA-8VF;SunLED;LED RED CLEAR 2SMD;SMD
2;S2MINI;S2MINI1;S2MINI;SH2-16G;On Shore Technology Inc.;CONN RCPT 16POS 0.1 GOLD PCB;SMD
1;TAJC475K025RNJ;C27;CAPPM6032X280N;TAJC475K025RNJ;KYOCERA AVX;CAP TANT 4.7UF 10% 25V 2312;SMD
4;TBL009V-254-03GY-2GY;DHT22, SDI-12, SOIL_MOISTURE, SOIL_TEMP;CUI_TBL009V-254-03GY-2GY;TBL009V-254-03GY-2GY;Same Sky (Formerly CUI Devices);TERMINAL BLOCK, SCREWLESS, 2.54,;THRU-HOLE
1;TBL009V-254-05GY-2GY;I2C;CUI_TBL009V-254-05GY-2GY;TBL009V-254-05GY-2GY;Same Sky (Formerly CUI Devices);TERMINAL BLOCK, SCREWLESS, 2.54,;THRU-HOLE
1;TPS2121RUXR;U6;IC_TPS2121RUXR;TPS2121RUXR;Texas Instruments;PWR MGMT BATTERY MGMT;SMD
4;TPS22917DBVR;U1, U2, U3, U5;SOT95P280X145-6N;TPS22917DBVT;Texas Instruments;IC PWR SWITCH P-CHAN 1:1 SOT23-6;SMD
1;TPS62175DQCR;U7;DQC0010A;TPS62175DQCR;Texas Instruments;IC REG BUCK BST ADJ 500MA 10WSON;SMD
1;TPS63060;IC1;DSC-S-PWSON-N10;TPS63060DSCR;Texas Instruments;IC REG BUCK BOOST ADJ 2A 10WSON;SMD
1;U.FL-R-SMT(10);J7;HRS_U.FL-R-SMT(10);U.FL-R-SMT-1(01);Hirose Electric Co Ltd;CONN U.FL RCPT STR 50 OHM SMD;SMD
