id,dev_eui,join_eui,frequency_plan_id,lorawan_version,lorawan_phy_version,app_key
wilo-001,70B3D57ED006F5B0,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-002,70B3D57ED006F5B1,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-003,70B3D57ED006F5B2,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-004,70B3D57ED006F5B3,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-005,70B3D57ED006F5B4,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-006,70B3D57ED006F5B5,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-007,70B3D57ED006F5B6,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-008,70B3D57ED006F5B7,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-009,70B3D57ED006F5B8,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-010,70B3D57ED006F5B9,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-011,70B3D57ED006F5BA,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-012,70B3D57ED006F5BB,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-013,70B3D57ED006F5BC,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-014,70B3D57ED006F5BD,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-015,70B3D57ED006F5BE,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-016,70B3D57ED006F5BF,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-017,70B3D57ED006F5C0,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-018,70B3D57ED006F5C1,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-019,70B3D57ED006F5C2,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-020,70B3D57ED006F5C3,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-021,70B3D57ED006F5C4,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-022,70B3D57ED006F5C5,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-023,70B3D57ED006F5C6,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-024,70B3D57ED006F5C7,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-025,70B3D57ED006F5C8,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-026,70B3D57ED006F5C9,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-027,70B3D57ED006F5CA,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-028,70B3D57ED006F5CB,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-029,70B3D57ED006F5CC,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-030,70B3D57ED006F5CD,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-031,70B3D57ED006F5CE,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-032,70B3D57ED006F5CF,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-033,70B3D57ED006F5D0,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-034,70B3D57ED006F5D1,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-035,70B3D57ED006F5D2,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-036,70B3D57ED006F5D3,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-037,70B3D57ED006F5D4,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-038,70B3D57ED006F5D5,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-039,70B3D57ED006F5D6,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-040,70B3D57ED006F5D7,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-041,70B3D57ED006F5D8,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-042,70B3D57ED006F5D9,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-043,70B3D57ED006F5DA,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-044,70B3D57ED006F5DB,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-045,70B3D57ED006F5DC,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-046,70B3D57ED006F5DD,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-047,70B3D57ED006F5DE,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-048,70B3D57ED006F5DF,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-049,70B3D57ED006F5E0,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-050,70B3D57ED006F5E1,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-051,70B3D57ED006F5E2,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-052,70B3D57ED006F5E3,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-053,70B3D57ED006F5E4,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-054,70B3D57ED006F5E5,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-055,70B3D57ED006F5E6,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-056,70B3D57ED006F5E7,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-057,70B3D57ED006F5E8,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-058,70B3D57ED006F5E9,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-059,70B3D57ED006F5EA,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-060,70B3D57ED006F5EB,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-061,70B3D57ED006F5EC,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-062,70B3D57ED006F5ED,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-063,70B3D57ED006F5EE,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-064,70B3D57ED006F5EF,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-065,70B3D57ED006F5F0,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-066,70B3D57ED006F5F1,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-067,70B3D57ED006F5F2,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-068,70B3D57ED006F5F3,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-069,70B3D57ED006F5F4,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-070,70B3D57ED006F5F5,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-071,70B3D57ED006F5F6,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-072,70B3D57ED006F5F7,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-073,70B3D57ED006F5F8,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-074,70B3D57ED006F5F9,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
wilo-075,70B3D57ED006F5FA,0000000000000000,EU_863_870_TTN,MAC_V1_0_2,RP002_V1_0_2,0432982B97D96E80C3E3A5986F98901D
