Qty;Value;Device;Package;Parts;MPN
2;;DIODE_SOD-123FL;SOD-123FL;D2, D3;MBR120VLSFT1G
4;;PINHD-1X3;1X03;3V3, 4.5V-12V, GND, GND5;61300311121
1;;USBMINIB;USB-MINIB;CN1;690-005-299-043
1;0 ohm;R-US_R0805;R0805;R32;ERJ-6GEY0R00V
2;100K;R-US_R0805;R0805;R41, R43;RC0805FR-07100KL
10;100k;R-US_R0603;R0603;R6, R7, R8, R9, R15, R16, R25, R26, R33, R47;CRG0603F100K
5;100nF;C-EUC0805;C0805;C3, C16, C22, C23, C38;KGM21NR71E104KT
1;104k;R-US_R0603;R0603;R51;RN73H1JTTD1043B50
1;105k;R-US_R0603;R0603;R44;AC0603FR-07105KL
1;10K;103JG1F;G1_USS;RT1;103JG1F
1;10k;R-TRIMM3296W;RTRIM3296W;R52;3296W-1-103RLF
9;10k;R-US_R0603;R0603;R1, R3, R4, R18, R19, R20, R21, R38, R54;ERJ-U03F1002V
1;10pF;C-EUC0805;C0805;C25;C0805C100JDGACTU
10;10uF;C-EUC0805;C0805;C7, C8, C11, C14, C19, C20, C21, C29, C32, C33;GRM21BR61C106KE15K
1;10uH;IFSC1515AHER100M01IND_IFSC_1515AH_VIS-M;IND_IFSC_1515AH_VIS-M;L2;IFSC1515AHER100M01
1;117k;R-US_R0603;R0603;R49;RT0603DRE07117KL
1;150k;R-US_R0603;R0603;R48;ERJ-3EKF1503V
1;16k;R-US_R0603;R0603;R50;3296W-1-103RLF
1;1K;R-US_R0603;R0603;R46;RMCF0603FT1K00
8;1uF;C-EUC0805;C0805;C1, C2, C4, C5, C10, C13, C15, C17;CC0805KKX7R9BB105
1;2.2uF;CGA4J3X7R1H225K125AB;CAPC2012X145N;C24;CGA4J3X7R1H225K125AB
1;20k;R-US_R0603;R0603;R45;RC0603FR-0720KL
8;22uF;C-EUC0805;C0805;C26, C28, C30, C31, C34, C35, C36, C37;CL21A226MOQNNNE
2;23.7k;R-US_R0603;R0603;R27, R29;ERJ-3EKF2372V
1;270K;R-US_R0603;R0603;R40;ERJ-3EKF2703V
1;287k;R-US_R0603;R0603;R34;ERJ-3EKF2873V
2;2N7002;2N7002;SOT95P240X111-3N;Q1, Q2;2N7002
5;2k;R-US_R0603;R0603;R5, R10, R17, R24, R42;RC0603FR-072KL
1;4.53k;R-US_R0603;R0603;R39;ERJ-3EKF4531V
5;4.7k;R-US_R0603;R0603;R2, R11, R12, R13, R14;RK73G1JTTD4701C
4;470pF;C-EUC0805;C0805;C6, C9, C12, C18;CC0805JRNPOBBN471
2;5.1k;R-US_R0603;R0603;R36, R37;ERA-3ARW512V
2;51.1k;R-US_R0603;R0603;R31, R35;ERJ-1GNF5112C
1;51k;R-US_R0603;R0603;R22;RC0603FR-0751KL
2;5k;R-US_R0603;R0603;R28, R30;RN73A1J5K0FTD
1;6k;R-US_R0603;R0603;R53;ERJ-3EKF6041V
1;75k;R-US_R0603;R0603;R23;AC0603FR-0775KL
2;B2B-PH-K-S;B2B-PH-K-S;JST_B2B-PH-K-S;BATT, SOLAR;B2B-PH-K-S
1;BH-25C-1;BH-25C-1;BAT_BH-25C-1;BT1;BH-25C-1
1;BLUE;LEDSML0603;SML0603;CHRG;XZCFBB53W-8VF
1;DS3231MZ+TRL;DS3231MZ+TRL;SOIC127P600X175-8N;U4;DS3231MZ+TRL
1;GF-123-0054;GF-123-0054;SW_GF-123-0054;S1;GF-123-0054
1;GREEN;LEDSML0603;SML0603;DONE;XZCDGK53W-8VF
1;HOPERF_RFM95W;HOPERF_RFM95W;HOPERF_RFM95W;RFM95W;RFM95W-868S2
1;LQH5BPN1R0N38L;LQH5BPN1R0N38L;IND_LQH5BPN1R0N38L;L1;LQH5BPN1R0N38L
2;LQH5BPN6R8M38L;LQH5BPN6R8M38L;IND_LQH5BPN6R8M38L;L3, L4;LQH5BPN6R8M38L
1;MBR120VLSFT1G;DIODE_SOD-123FL;SOD-123FL;D1;MBR120VLSFT1G
1;MCP73871;MCP73871;QFN20_4MM;IC2;MCP73871T-2CCI/ML
1;MSD-4-A;MSD-4-A;CUI_MSD-4-A;SD_CARD;MSD-4-A
2;MT3608;MT3608;SOT95P280X145-6N;U8, U9;MT3608
4;NTJD1155LT1G;NTJD1155LT1G;TRANS_NTJD1155LT1G;Q3, Q4, Q5, Q6;NTJD1155LT1G
1;QR_CODE;QR_CODE;QR_CODE;QR_CODE;
1;RED;LEDSML0603;SML0603;PWR;XZCM2CRK53WA-8VF
1;S2MINI;S2MINI;S2MINI;S2MINI1;SH2-16G
1;TAJC475K025RNJ;TAJC475K025RNJ;CAPPM6032X280N;C27;TAJC475K025RNJ
4;TBL009V-254-03GY-2GY;TBL009V-254-03GY-2GY;CUI_TBL009V-254-03GY-2GY;DHT22, SDI-12, SOIL_MOISTURE, SOIL_TEMP;TBL009V-254-03GY-2GY
1;TBL009V-254-05GY-2GY;TBL009V-254-05GY-2GY;CUI_TBL009V-254-05GY-2GY;I2C;TBL009V-254-05GY-2GY
1;TPS2121RUXR;TPS2121RUXR;IC_TPS2121RUXR;U6;TPS2121RUXR
4;TPS22917DBVR;TPS22917DBVR;SOT95P280X145-6N;U1, U2, U3, U5;TPS22917DBVT
1;TPS62175DQCR;TPS62175DQCR;DQC0010A;U7;TPS62175DQCR
1;TPS63060;TPS63060;DSC-S-PWSON-N10;IC1;TPS63060DSCR
1;U.FL-R-SMT(10);U.FL-R-SMT(10);HRS_U.FL-R-SMT(10);J7;U.FL-R-SMT-1(01)
