C1, 46.67, 46.36, 0.00, 1uF, C0805
C10, 69.93, 19.78, 180.00, 1uF, C0805
C11, 61.10, 30.98, 90.00, 10uF, C0805
C12, 59.96, 35.28, 0.00, 470pF, C0805
C13, 64.57, 35.29, 0.00, 1uF, C0805
C14, 71.72, 44.86, 270.00, 10uF, C0805
C15, 29.85, 55.88, 0.00, 1uF, C0805
C16, 35.24, 60.33, 90.00, 100nF, C0805
C17, 62.55, 77.15, 90.00, 1uF, C0805
C18, 59.05, 71.76, 0.00, 470pF, C0805
C19, 54.84, 76.48, 90.00, 10uF, C0805
C2, 58.74, 19.69, 180.00, 1uF, C0805
C20, 15.14, 14.14, 90.00, 10uF, C0805
C21, 12.92, 14.14, 90.00, 10uF, C0805
C22, 21.07, 9.38, 270.00, 100nF, C0805
C23, 18.88, 51.78, 180.00, 100nF, C0805
C24, 15.42, 59.14, 90.00, 2.2uF, CAPC2012X145N
C25, 24.88, 10.01, 180.00, 10pF, C0805
C26, 26.04, 15.09, 90.00, 22uF, C0805
C27, 28.76, 42.95, 90.00, TAJC475K025RNJ, CAPPM6032X280N
C28, 28.38, 15.09, 90.00, 22uF, C0805
C29, 20.50, 43.27, 180.00, 10uF, C0805
C3, 39.47, 65.91, 180.00, 100nF, C0805
C30, 23.70, 15.09, 90.00, 22uF, C0805
C31, 12.25, 57.67, 180.00, 22uF, C0805
C32, 14.14, 24.24, 90.00, 10uF, C0805
C33, 17.01, 26.44, 270.00, 10uF, C0805
C34, 35.63, 28.58, 90.00, 22uF, C0805
C35, 32.70, 10.48, 270.00, 22uF, C0805
C36, 52.71, 26.99, 270.00, 22uF, C0805
C37, 49.78, 9.30, 270.00, 22uF, C0805
C38, 75.30, 24.10, 180.00, 100nF, C0805
C4, 69.83, 31.02, 270.00, 1uF, C0805
C5, 54.58, 14.22, 0.00, 1uF, C0805
C6, 52.10, 22.57, 0.00, 470pF, C0805
C7, 48.58, 14.32, 180.00, 10uF, C0805
C8, 73.04, 26.43, 0.00, 10uF, C0805
C9, 73.02, 20.09, 270.00, 470pF, C0805
CHRG, 18.91, 33.74, 180.00, BLUE, SML0603
CN1, 6.66, 42.09, 270.00, , USB-MINIB
D1, 16.69, 64.22, 90.00, MBR120VLSFT1G, SOD-123FL
D2, 48.58, 27.62, 180.00, , SOD-123FL
D3, 45.47, 9.72, 180.00, , SOD-123FL
DONE, 18.91, 36.28, 180.00, GREEN, SML0603
IC1, 19.17, 12.87, 270.00, TPS63060, DSC-S-PWSON-N10
IC2, 25.58, 35.97, 270.00, MCP73871, QFN20_4MM
J7, 84.68, 75.40, 0.00, U.FL-R-SMT(10), HRS_U.FL-R-SMT(10)
L1, 19.30, 18.60, 0.00, LQH5BPN1R0N38L, IND_LQH5BPN1R0N38L
L2, 8.12, 57.87, 90.00, 10uH, IND_IFSC_1515AH_VIS-M
L3, 40.64, 22.89, 0.00, LQH5BPN6R8M38L, IND_LQH5BPN6R8M38L
L4, 38.10, 5.72, 0.00, LQH5BPN6R8M38L, IND_LQH5BPN6R8M38L
PWR, 18.91, 38.82, 180.00, RED, SML0603
Q1, 62.90, 19.40, 270.00, 2N7002, SOT95P240X111-3N
Q2, 66.48, 15.05, 0.00, 2N7002, SOT95P240X111-3N
Q3, 51.60, 19.90, 180.00, SI1865DDL-T1-GE3, SOT65P210X110-6N
Q4, 70.26, 22.46, 90.00, NTJD1155LT1G, TRANS_NTJD1155LT1G
Q5, 65.16, 31.88, 270.00, NTJD1155LT1G, TRANS_NTJD1155LT1G
Q6, 58.74, 74.93, 180.00, NTJD1155LT1G, TRANS_NTJD1155LT1G
R1, 44.77, 59.60, 0.00, 10k, R0603
R10, 65.95, 19.84, 90.00, 2k, R0603
R11, 73.03, 14.29, 180.00, 4.7k, R0603
R12, 78.74, 28.58, 90.00, 4.7k, R0603
R13, 73.03, 16.51, 180.00, 4.7k, R0603
R14, 81.28, 28.58, 90.00, 4.7k, R0603
R15, 56.14, 35.30, 180.00, 100k, R0603
R16, 48.17, 40.49, 270.00, 100k, R0603
R17, 68.70, 34.55, 270.00, 2k, R0603
R18, 71.44, 52.39, 180.00, 10k, R0603
R19, 71.44, 47.94, 180.00, 10k, R0603
R2, 47.53, 55.88, 270.00, 4.7k, R0603
R20, 71.53, 54.65, 180.00, 10k, R0603
R21, 71.44, 50.16, 180.00, 10k, R0603
R22, 30.16, 64.14, 180.00, 51k, R0603
R23, 33.66, 64.14, 180.00, 75k, R0603
R24, 58.06, 78.19, 0.00, 2k, R0603
R25, 50.22, 72.51, 90.00, 100k, R0603
R26, 54.61, 71.44, 180.00, 100k, R0603
R27, 19.52, 60.35, 180.00, 23.7k, R0603
R28, 19.52, 62.57, 0.00, 5k, R0603
R29, 23.65, 60.35, 0.00, 23.7k, R0603
R3, 39.96, 40.60, 180.00, 10k, R0603
R30, 23.65, 62.57, 180.00, 5k, R0603
R31, 18.88, 54.00, 0.00, 51.1k, R0603
R32, 25.23, 66.38, 0.00, 0 ohm, R0805
R33, 16.63, 8.43, 0.00, 100k, R0603
R34, 24.93, 12.05, 0.00, 287k, R0603
R35, 24.30, 7.78, 180.00, 51.1k, R0603
R36, 15.11, 33.74, 180.00, 5.1k, R0603
R37, 15.11, 36.92, 180.00, 5.1k, R0603
R38, 24.00, 42.00, 270.00, 10k, R0603
R39, 15.11, 40.09, 180.00, 4.53k, R0603
R4, 62.71, 15.14, 90.00, 10k, R0603
R40, 23.36, 46.44, 180.00, 270K, R0603
R41, 28.12, 48.98, 0.00, 100K, R0805
R42, 11.63, 34.99, 270.00, 2k, R0603
R43, 20.82, 29.62, 0.00, 100K, R0805
R44, 12.57, 65.49, 0.00, 105k, R0603
R45, 12.57, 63.27, 0.00, 20k, R0603
R46, 15.47, 47.49, 180.00, 1K, R0603
R47, 10.03, 68.17, 0.00, 100k, R0603
R48, 13.20, 52.48, 0.00, 150k, R0603
R49, 47.70, 30.80, 90.00, 117k, R0603
R5, 51.94, 17.02, 90.00, 2k, R0603
R50, 43.04, 30.93, 0.00, 16k, R0603
R51, 44.70, 12.17, 0.00, 104k, R0603
R53, 35.43, 15.08, 270.00, 6.04k, R0603
R54, 27.40, 23.70, 180.00, 10k, R0603
R6, 47.66, 23.93, 0.00, 100k, R0603
R7, 48.32, 18.10, 180.00, 100k, R0603
R8, 69.13, 26.27, 0.00, 100k, R0603
R9, 61.40, 23.78, 270.00, 100k, R0603
RFM95W, 73.81, 67.37, 90.00, HOPERF_RFM95W, HOPERF_RFM95W
SD_CARD, 80.70, 48.66, 90.00, MSD-4-A, CUI_MSD-4-A
U1, 46.67, 50.16, 90.00, TPS22917DBVR, SOT95P280X145-6N
U2, 59.37, 15.56, 270.00, TPS22917DBVR, SOT95P280X145-6N
U3, 73.47, 31.31, 0.00, TPS22917DBVR, SOT95P280X145-6N
U4, 80.01, 20.12, 0.00, DS3231MZ+TRL, SOIC127P600X175-8N
U5, 29.85, 59.69, 90.00, TPS22917DBVR, SOT95P280X145-6N
U6, 21.74, 56.86, 180.00, TPS2121RUXR, IC_TPS2121RUXR
U7, 12.25, 60.73, 180.00, TPS62175DQCR, DQC0010A
U8, 40.64, 27.94, 180.00, MT3608, SOT95P280X145-6N
U9, 38.80, 11.30, 180.00, MT3608, SOT95P280X145-6N
